央视频道,#genre#
CCTV1,http://171.8.194.206:8800/rtp/239.16.10.1:2000
CCTV1,http://171.8.85.62:8800/rtp/239.16.10.1:2000
CCTV2,http://171.8.194.206:8800/rtp/239.16.10.127:2000
CCTV2,http://171.8.85.62:8800/rtp/239.16.10.127:2000
CCTV3,http://171.8.194.206:8800/rtp/239.16.10.2:2000
CCTV3,http://171.8.85.62:8800/rtp/239.16.10.2:2000
CCTV4,http://171.8.194.206:8800/rtp/239.16.10.128:2000
CCTV4,http://171.8.85.62:8800/rtp/239.16.10.128:2000
CCTV5,http://171.8.194.206:8800/rtp/239.16.10.132:2000
CCTV5,http://171.8.85.62:8800/rtp/239.16.10.132:2000
CCTV5+,http://171.8.194.206:8800/rtp/239.16.10.3:2000
CCTV5+,http://171.8.85.62:8800/rtp/239.16.10.3:2000
CCTV6,http://171.8.194.206:8800/rtp/239.16.10.101:2000
CCTV6,http://171.8.85.62:8800/rtp/239.16.10.101:2000
CCTV7,http://171.8.194.206:8800/rtp/239.16.10.130:2000
CCTV7,http://171.8.85.62:8800/rtp/239.16.10.130:2000
CCTV8,http://171.8.194.206:8800/rtp/239.16.10.102:2000
CCTV8,http://171.8.85.62:8800/rtp/239.16.10.102:2000
CCTV9,http://171.8.194.206:8800/rtp/239.16.10.103:2000
CCTV9,http://171.8.85.62:8800/rtp/239.16.10.103:2000
CCTV10,http://171.8.194.206:8800/rtp/239.16.10.108:2000
CCTV10,http://171.8.85.62:8800/rtp/239.16.10.108:2000
CCTV11,http://171.8.194.206:8800/rtp/239.16.10.109:2000
CCTV11,http://171.8.85.62:8800/rtp/239.16.10.109:2000
CCTV12,http://171.8.194.206:8800/rtp/239.16.10.110:2000
CCTV12,http://171.8.85.62:8800/rtp/239.16.10.110:2000
CCTV13,http://171.8.194.206:8800/rtp/239.16.10.111:2000
CCTV13,http://171.8.85.62:8800/rtp/239.16.10.111:2000
CCTV14,http://171.8.194.206:8800/rtp/239.16.10.112:2000
CCTV14,http://171.8.85.62:8800/rtp/239.16.10.112:2000
CCTV15,http://171.8.194.206:8800/rtp/239.16.10.113:2000
CCTV15,http://171.8.85.62:8800/rtp/239.16.10.113:2000
CCTV17,http://171.8.194.206:8800/rtp/239.16.10.129:2000
CCTV17,http://171.8.85.62:8800/rtp/239.16.10.129:2000
卫视频道,#genre#
湖南卫视,http://171.8.194.206:8800/rtp/239.16.10.6:2000
湖南卫视,http://171.8.85.62:8800/rtp/239.16.10.6:2000
浙江卫视,http://171.8.194.206:8800/rtp/239.16.10.5:2000
浙江卫视,http://171.8.85.62:8800/rtp/239.16.10.5:2000
江苏卫视,http://171.8.194.206:8800/rtp/239.16.10.8:2000
江苏卫视,http://171.8.85.62:8800/rtp/239.16.10.8:2000
北京卫视,http://171.8.194.206:8800/rtp/239.16.10.10:2000
北京卫视,http://171.8.85.62:8800/rtp/239.16.10.10:2000
东方卫视,http://171.8.194.206:8800/rtp/239.16.10.7:2000
东方卫视,http://171.8.85.62:8800/rtp/239.16.10.7:2000
安徽卫视,http://171.8.194.206:8800/rtp/239.16.10.9:2000
安徽卫视,http://171.8.85.62:8800/rtp/239.16.10.9:2000
广东卫视,http://171.8.194.206:8800/rtp/239.16.10.104:2000
广东卫视,http://171.8.85.62:8800/rtp/239.16.10.104:2000
深圳卫视,http://171.8.194.206:8800/rtp/239.16.10.11:2000
深圳卫视,http://171.8.85.62:8800/rtp/239.16.10.11:2000
辽宁卫视,http://171.8.194.206:8800/rtp/239.16.10.29:2000
辽宁卫视,http://171.8.85.62:8800/rtp/239.16.10.29:2000
海南卫视,http://171.8.194.206:8800/rtp/239.16.10.43:2000
海南卫视,http://171.8.85.62:8800/rtp/239.16.10.43:2000
山东卫视,http://171.8.194.206:8800/rtp/239.16.10.14:2000
山东卫视,http://171.8.85.62:8800/rtp/239.16.10.14:2000
天津卫视,http://171.8.194.206:8800/rtp/239.16.10.30:2000
天津卫视,http://171.8.85.62:8800/rtp/239.16.10.30:2000
重庆卫视,http://171.8.194.206:8800/rtp/239.16.10.13:2000
重庆卫视,http://171.8.85.62:8800/rtp/239.16.10.13:2000
东南卫视,http://171.8.194.206:8800/rtp/239.16.10.16:2000
东南卫视,http://171.8.85.62:8800/rtp/239.16.10.16:2000
甘肃卫视,http://171.8.194.206:8800/rtp/239.16.10.114:2000
甘肃卫视,http://171.8.85.62:8800/rtp/239.16.10.114:2000
广西卫视,http://171.8.194.206:8800/rtp/239.16.10.18:2000
广西卫视,http://171.8.85.62:8800/rtp/239.16.10.18:2000
贵州卫视,http://171.8.194.206:8800/rtp/239.16.10.15:2000
贵州卫视,http://171.8.85.62:8800/rtp/239.16.10.15:2000
河北卫视,http://171.8.194.206:8800/rtp/239.16.10.22:2000
河北卫视,http://171.8.85.62:8800/rtp/239.16.10.22:2000
黑龙江卫视,http://171.8.194.206:8800/rtp/239.16.10.105:2000
黑龙江卫视,http://171.8.85.62:8800/rtp/239.16.10.105:2000
河南卫视,http://171.8.194.206:8800/rtp/239.16.10.119:2000
河南卫视,http://171.8.85.62:8800/rtp/239.16.10.119:2000
湖北卫视,http://171.8.194.206:8800/rtp/239.16.10.21:2000
湖北卫视,http://171.8.85.62:8800/rtp/239.16.10.21:2000
江西卫视,http://171.8.194.206:8800/rtp/239.16.10.23:2000
江西卫视,http://171.8.85.62:8800/rtp/239.16.10.23:2000
吉林卫视,http://171.8.194.206:8800/rtp/239.16.10.28:2000
吉林卫视,http://171.8.85.62:8800/rtp/239.16.10.28:2000
内蒙古卫视,http://171.8.194.206:8800/rtp/239.16.10.25:2000
内蒙古卫视,http://171.8.85.62:8800/rtp/239.16.10.25:2000
宁夏卫视,http://171.8.194.206:8800/rtp/239.16.10.26:2000
宁夏卫视,http://171.8.85.62:8800/rtp/239.16.10.26:2000
山西卫视,http://171.8.194.206:8800/rtp/239.16.10.24:2000
山西卫视,http://171.8.85.62:8800/rtp/239.16.10.24:2000
陕西卫视,http://171.8.194.206:8800/rtp/239.16.10.17:2000
陕西卫视,http://171.8.85.62:8800/rtp/239.16.10.17:2000
四川卫视,http://171.8.194.206:8800/rtp/239.16.10.20:2000
四川卫视,http://171.8.85.62:8800/rtp/239.16.10.20:2000
新疆卫视,http://171.8.194.206:8800/rtp/239.16.10.27:2000
新疆卫视,http://171.8.85.62:8800/rtp/239.16.10.27:2000
云南卫视,http://171.8.194.206:8800/rtp/239.16.10.19:2000
云南卫视,http://171.8.85.62:8800/rtp/239.16.10.19:2000
青海卫视,http://171.8.194.206:8800/rtp/239.16.10.107:2000
青海卫视,http://171.8.85.62:8800/rtp/239.16.10.107:2000
西藏卫视,http://171.8.194.206:8800/rtp/239.16.10.106:2000
西藏卫视,http://171.8.85.62:8800/rtp/239.16.10.106:2000
金鹰卡通,http://171.8.194.206:8800/rtp/239.16.10.115:2000
金鹰卡通,http://171.8.85.62:8800/rtp/239.16.10.115:2000
数字频道,#genre#
生活时尚,http://171.8.194.206:8800/rtp/239.16.10.243:2000
生活时尚,http://171.8.85.62:8800/rtp/239.16.10.243:2000
国学频道,http://171.8.194.206:8800/rtp/239.16.10.217:2000
国学频道,http://171.8.85.62:8800/rtp/239.16.10.217:2000
